District,Building name,Last date of visit of the case(s),Related cases
Sham Shui Po,"Tropicana 3, Dynasty Heights",25/12/2022,
Sham Shui Po,Tak Po Building,25/12/2022,
Sham Shui Po,Tak Cheong Building,25/12/2022,
Sham Shui Po,Tak Chee Yuen,25/12/2022,
Sham Shui Po,"Tower 2, The Sparkle",25/12/2022,
Sham Shui Po,High Point,25/12/2022,
Sham Shui Po,Banyan Garden,25/12/2022,
Sham Shui Po,"Hoi Wing House, Hoi Tat Estate",25/12/2022,
Sham Shui Po,"Hoi Nga House, Hoi Lai Estate",25/12/2022,
Sham Shui Po,"Block 3, Villa Carlton",25/12/2022,
Sham Shui Po,"Block 1, Monte Carlton",25/12/2022,
Sham Shui Po,2 Magnolia Road,25/12/2022,
Sham Shui Po,23 Boundary Street,25/12/2022,
Sham Shui Po,"Tower 3, Mount Beacon",25/12/2022,
Sham Shui Po,"Block 19, Beacon Heights",25/12/2022,
Sham Shui Po,"Block 7, Beacon Heights",25/12/2022,
Sham Shui Po,"Tower 2, Nob Hill",25/12/2022,
Sham Shui Po,Ying Tat Building,25/12/2022,
Sham Shui Po,107 Fuk Wing Street,25/12/2022,
Sham Shui Po,"Fook On Building, 16A-16D Fuk Wing Street",25/12/2022,
Sham Shui Po,214 Fuk Wing Street,25/12/2022,
Sham Shui Po,37-39 Fuk Wing Street,25/12/2022,
Sham Shui Po,47 Fuk Wing Street,25/12/2022,
Sham Shui Po,122 Fuk Wa Street,25/12/2022,
Sham Shui Po,Fuk Wa Court,25/12/2022,
Sham Shui Po,Flora Villa,25/12/2022,
Sham Shui Po,Tse Wan Mansion,25/12/2022,
Sham Shui Po,Chi Fai Court,25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 1, 14-16 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 1, 2-4 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 1, 29-31 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 2-4 Glee Path",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 9-11 Glee Path",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 33-35 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 34-36 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 37-39 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 40-42 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 44-46 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 49-51 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 52-54 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 53-55 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 56-58 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 61-63 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 64-66 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 65-67 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 72-74 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 4, 113-115 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 5, 1-3 Humbert Street",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 5, 10-12 Nassau Street",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 5, 9-11 Nassau Street",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 17 Humbert Street",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 9-11 Humbert Street",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 13-15 Nassau Street",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 26-28 Nassau Street",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 38-40 Nassau Street",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 7, 10-12 Lai Wan Road",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 7, 15-17 Mount Sterling Mall",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 7, 5-7 Mount Sterling Mall",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 8, 106-108 Broadway",25/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 8, 130-132 Broadway",25/12/2022,
Sham Shui Po,"Block 7, Manor Centre",25/12/2022,
Sham Shui Po,Yha Mei Ho House Youth Hostel,25/12/2022,
Sham Shui Po,Wah On Mansion,25/12/2022,
Sham Shui Po,Wah Pont House,25/12/2022,
Sham Shui Po,Kam Yu Building,25/12/2022,
Sham Shui Po,Cheung Sha Mansion,25/12/2022,
Sham Shui Po,Shun King Mansion,25/12/2022,
Sham Shui Po,Fulham Court,25/12/2022,
Sham Shui Po,145 Apliu Street,25/12/2022,
Sham Shui Po,164 Apliu Street,25/12/2022,
Sham Shui Po,254 Apliu Street,25/12/2022,
Sham Shui Po,90A Apliu Street,25/12/2022,
Sham Shui Po,"Lai Lan House, Lai Kok Estate",25/12/2022,
Sham Shui Po,10A Wong Chuk Street,25/12/2022,
Sham Shui Po,Lung Fung Building,25/12/2022,
Sham Shui Po,Madison Park,24/12/2022,
Sham Shui Po,"Po Wah Court, 32 Po On Road",24/12/2022,
Sham Shui Po,Ka To Building,24/12/2022,
Sham Shui Po,"Tung Wong House, Tai Hang Tung Estate",24/12/2022,
Sham Shui Po,Fu Chau Building,24/12/2022,
Sham Shui Po,Po Lung Building,24/12/2022,
Sham Shui Po,Man Yui Building,24/12/2022,
Sham Shui Po,Sunning Mansion,24/12/2022,
Sham Shui Po,Chiu Nan Building,24/12/2022,
Sham Shui Po,"Tower 4, Cronin Garden",24/12/2022,
Sham Shui Po,Wing Fat Building,24/12/2022,
Sham Shui Po,186 Yu Chau Street,24/12/2022,
Sham Shui Po,"Block 2, Grandeur Villa",24/12/2022,
Sham Shui Po,28 Poplar Street,24/12/2022,
Sham Shui Po,Pak Yuk House,24/12/2022,
Sham Shui Po,"Wan Tin House, Pak Tin Estate",24/12/2022,
Sham Shui Po,Fuk Sing House,24/12/2022,
Sham Shui Po,77 Fuk Wing Street,24/12/2022,
Sham Shui Po,Fook Tin Building,24/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 4, 75-77 Broadway",24/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 8, 118-120 Broadway",24/12/2022,
Sham Shui Po,Yiu Cheong Lung Building,24/12/2022,
Sham Shui Po,Wah Hing Building,24/12/2022,
Sham Shui Po,Melbourne Building,24/12/2022,
Sham Shui Po,Richview Mansion,24/12/2022,
Sham Shui Po,Angela Court,24/12/2022,
Sham Shui Po,Green Court,24/12/2022,
Sham Shui Po,"Lai Lo House, Lai Kok Estate",24/12/2022,
Sham Shui Po,"Tower 4, Parc Oasis",23/12/2022,
Sham Shui Po,"Tower 8, Parc Oasis",23/12/2022,
Sham Shui Po,Career Court,23/12/2022,
Sham Shui Po,"Student Residence, City University Of Hong Kong",23/12/2022,
Sham Shui Po,Fu Wa Mansion,23/12/2022,
Sham Shui Po,"Block 12, Dynasty Heights Dynasty Villa",23/12/2022,
Sham Shui Po,Kin Man Building,23/12/2022,
Sham Shui Po,Tak Sing House,23/12/2022,
Sham Shui Po,Yee King Court,23/12/2022,
Sham Shui Po,"Yee Yan House, Yee Kok Court",23/12/2022,
Sham Shui Po,Hang Shing Building,23/12/2022,
Sham Shui Po,Wen Pang Building,23/12/2022,
Sham Shui Po,Sun Wah House,23/12/2022,
Sham Shui Po,King Fai Court,23/12/2022,
Sham Shui Po,"Wing Lung Building, 20-22 Wing Lung Street",23/12/2022,
Sham Shui Po,"Hoi Hei House, Hoi Lai Estate",23/12/2022,
Sham Shui Po,Evergreen Mansion,23/12/2022,
Sham Shui Po,201 Fuk Wing Street,23/12/2022,
Sham Shui Po,71 Fuk Wing Street,23/12/2022,
Sham Shui Po,139 Fuk Wa Street,23/12/2022,
Sham Shui Po,Mei Kei Mansion,23/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 1, 18-20 Broadway",23/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 4, 105-107 Broadway",23/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 5, 18-20 Nassau Street",23/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 2-4 Humbert Street",23/12/2022,
Sham Shui Po,TST Tower,23/12/2022,
Sham Shui Po,Hing Wah House,23/12/2022,
Sham Shui Po,Canaan Building,23/12/2022,
Sham Shui Po,Silver River Mansion,23/12/2022,
Sham Shui Po,Shining Court,23/12/2022,
Sham Shui Po,18 Apliu Street,23/12/2022,
Sham Shui Po,2 Apliu Street,23/12/2022,
Sham Shui Po,27 Wong Chuk Street,23/12/2022,
Sham Shui Po,120 Pei Ho Street,22/12/2022,
Sham Shui Po,"Nam Lok House, Nam Shan Estate",22/12/2022,
Sham Shui Po,Nam Cheong Centre,22/12/2022,
Sham Shui Po,Nam Pont Building,22/12/2022,
Sham Shui Po,"Tower 1, Parc Oasis",22/12/2022,
Sham Shui Po,"Tower 3, Parc Oasis",22/12/2022,
Sham Shui Po,"Phase 2, Village Gardens",22/12/2022,
Sham Shui Po,"Block A, Grammy Centre",22/12/2022,
Sham Shui Po,10 Marigold Road,22/12/2022,
Sham Shui Po,"Skylodge 3, Dynasty Heights",22/12/2022,
Sham Shui Po,The Astro,22/12/2022,
Sham Shui Po,Cheong Fok House,22/12/2022,
Sham Shui Po,Tone King Building,22/12/2022,
Sham Shui Po,"Tower 5, Cronin Garden",22/12/2022,
Sham Shui Po,Tin Fung House,22/12/2022,
Sham Shui Po,Cheong On House,22/12/2022,
Sham Shui Po,109 Fuk Wing Street,22/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 4, 81-83 Broadway",22/12/2022,
Sham Shui Po,"Block A, Merlin Centre",22/12/2022,
Sham Shui Po,Tsui Wan Mansion,22/12/2022,
Sham Shui Po,"Block B, Federal Mansion",22/12/2022,
Sham Shui Po,Fung Yat Court,22/12/2022,
Sham Shui Po,The Merrylands,22/12/2022,
Sham Shui Po,Kam Yuen Building,22/12/2022,
Sham Shui Po,Kam Wah Mansion,22/12/2022,
Sham Shui Po,29 Cheung Sha Wan Road,22/12/2022,
Sham Shui Po,Cheung Fat Mansion,22/12/2022,
Sham Shui Po,Charming Garden,22/12/2022,
Sham Shui Po,Shun Ning Building,22/12/2022,
Sham Shui Po,Chelsea Court,22/12/2022,
Sham Shui Po,Super Tower,22/12/2022,
Sha Tin,Sheung Keng Hau,28/12/2022,
Sha Tin,Sheung Wo Che,28/12/2022,
Sha Tin,Ha Wo Che,28/12/2022,
Sha Tin,"Lily Court, World-Wide Gardens",28/12/2022,
Sha Tin,"Ming Shun Lau, Jat Min Chuen",28/12/2022,
Sha Tin,"Ming Yan Lau, Jat Min Chuen",28/12/2022,
Sha Tin,"Ming Yiu Lau, Jat Min Chuen",28/12/2022,
Sha Tin,"Block 2, Wai Wah Centre",28/12/2022,
Sha Tin,"Block 3, Wai Wah Centre",28/12/2022,
Sha Tin,"Block B, Chuen Fai Centre",28/12/2022,
Sha Tin,"Lee Wing House, Lee On Estate",28/12/2022,
Sha Tin,"Lee Shing House, Lee On Estate",28/12/2022,
Sha Tin,"Lee Hing House, Lee On Estate",28/12/2022,
Sha Tin,"Lee Wah House, Lee On Estate",28/12/2022,
Sha Tin,"Lee Fung House, Lee On Estate",28/12/2022,
Sha Tin,Innocell,28/12/2022,
Sha Tin,"Pok On House, Pok Hong Estate",28/12/2022,
Sha Tin,"Pok Man House, Pok Hong Estate",28/12/2022,
Sha Tin,"Pok Chi House, Pok Hong Estate",28/12/2022,
Sha Tin,"Pok Tai House, Pok Hong Estate",28/12/2022,
Sha Tin,"Pok Yue House, Pok Hong Estate",28/12/2022,
Sha Tin,"Pok Yat House, Pok Hong Estate",28/12/2022,
Sha Tin,"Pok Tat House, Pok Hong Estate",28/12/2022,
Sha Tin,"Tower 5, Phase 3, Festival City",28/12/2022,
Sha Tin,"Block 1, Hill Paramount",28/12/2022,
Sha Tin,"Ka Sin House, Ka Keng Court",28/12/2022,
Sha Tin,"Ka Oi House, Ka Keng Court",28/12/2022,
Sha Tin,"Block 3, The Great Hill",28/12/2022,
Sha Tin,"Ka Hong House, Ka Tin Court",28/12/2022,
Sha Tin,"Ka Wai House, Ka Tin Court",28/12/2022,
Sha Tin,"Ka Kei House, Ka Tin Court",28/12/2022,
Sha Tin,"Ka Wing House, Ka Tin Court",28/12/2022,
Sha Tin,"Ka Yin House, Ka Tin Court",28/12/2022,
Sha Tin,"Block 1, La Costa",28/12/2022,
Sha Tin,"Block 2, La Costa",28/12/2022,
Sha Tin,Ka Shun Court,28/12/2022,
Sha Tin,"Block 3, Peak One",28/12/2022,
Sha Tin,"Block 8, Peak One",28/12/2022,
Sha Tin,To Shek,28/12/2022,
Sha Tin,Tai Wai New Village,28/12/2022,
Sha Tin,Tai Wai Village,28/12/2022,
Sha Tin,Tai Shui Hang,28/12/2022,
Sha Tin,Tai Lam Liu Village,28/12/2022,
Sha Tin,Tai Che,28/12/2022,
Sha Tin,"Tower 1B, Oceanaire",28/12/2022,
Sha Tin,"Tower 2A, Oceanaire",28/12/2022,
Sha Tin,"Tower 2B, Oceanaire",28/12/2022,
Sha Tin,"Tower 3B, Oceanaire",28/12/2022,
Sha Tin,"Tower 5B, Oceanaire",28/12/2022,
Sha Tin,"Tower 7B, Oceanaire",28/12/2022,
Sha Tin,"Shung Lam Court, Lucky Plaza",28/12/2022,
Sha Tin,"Pak Lam Court, Lucky Plaza",28/12/2022,
Sha Tin,"Chung Lam Court, Lucky Plaza",28/12/2022,
Sha Tin,"Yu Lam Court, Lucky Plaza",28/12/2022,
Sha Tin,"Chuk Lam Court, Lucky Plaza",28/12/2022,
Sha Tin,"Block 10, Chevalier Garden",28/12/2022,
Sha Tin,"Block 11, Chevalier Garden",28/12/2022,
Sha Tin,"Block 12, Chevalier Garden",28/12/2022,
Sha Tin,"Block 14, Chevalier Garden",28/12/2022,
Sha Tin,"Block 15, Chevalier Garden",28/12/2022,
Sha Tin,"Block 16, Chevalier Garden",28/12/2022,
Sha Tin,"Block 17, Chevalier Garden",28/12/2022,
Sha Tin,"Block 1, Chevalier Garden",28/12/2022,
Sha Tin,"Block 3, Chevalier Garden",28/12/2022,
Sha Tin,"Block 4, Chevalier Garden",28/12/2022,
Sha Tin,"Block 6, Chevalier Garden",28/12/2022,
Sha Tin,"Block 7, Chevalier Garden",28/12/2022,
Sha Tin,"Block 8, Chevalier Garden",28/12/2022,
Sha Tin,"Block 10, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Block 11, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Block 12, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Block 1, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Block 2, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Block 3, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Block 4, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Block 5, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Block 6, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Block 7, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Block 9, Saddle Ridge Garden",28/12/2022,
Sha Tin,"Fontana Heights, Belair Gardens",28/12/2022,
Sha Tin,"Admiralty Heights, Belair Gardens",28/12/2022,
Sha Tin,"Kingston Heights, Belair Gardens",28/12/2022,
Sha Tin,"Hoover Heights, Belair Gardens",28/12/2022,
Sha Tin,"Estoril Heights, Belair Gardens",28/12/2022,
Sha Tin,"Nelly Heights, Belair Gardens",28/12/2022,
Sha Tin,"Block 1, Fu Fai Garden",28/12/2022,
Sha Tin,Siu Lek Yuen Village,28/12/2022,
Sha Tin,"Tower 1, The Entrance",28/12/2022,
Sha Tin,"Tower 2, Sausalito",28/12/2022,
Sha Tin,"Tower 3, Sausalito",28/12/2022,
Sha Tin,"Tower 5, Sausalito",28/12/2022,
Sha Tin,"Block A, Hilton Plaza",28/12/2022,
Sha Tin,"Block B, Hilton Plaza",28/12/2022,
Sha Tin,"Block 2, Castello",28/12/2022,
Sha Tin,"Block 3, Castello",28/12/2022,
Sha Tin,"Block 5, Castello",28/12/2022,
Sha Tin,"Block 6, Castello",28/12/2022,
Sha Tin,"Block 7, Castello",28/12/2022,
Sha Tin,"Block 8, Castello",28/12/2022,
Sha Tin,Alva Hotel By Royal,28/12/2022,
Sha Tin,"Yuen Lam House, Hong Lam Court",28/12/2022,
Sha Tin,"Shan Lam House, Hong Lam Court",28/12/2022,
Sha Tin,"King Lam House, Hong Lam Court",28/12/2022,
Sha Tin,"Hing Lam House, Kwong Lam Court",28/12/2022,
Sha Tin,"Mau Lam House, Kwong Lam Court",28/12/2022,
Sha Tin,"Fook Lam House, Kwong Lam Court",28/12/2022,
Sha Tin,"Pine House, Kwong Yuen Estate",28/12/2022,
Sha Tin,"Cypress House, Kwong Yuen Estate",28/12/2022,
Sha Tin,"Kapok House, Kwong Yuen Estate",28/12/2022,
Sha Tin,"Alder House, Kwong Yuen Estate",28/12/2022,
Sha Tin,"Banyan House, Kwong Yuen Estate",28/12/2022,
Sha Tin,"Oak House, Kwong Yuen Estate",28/12/2022,
Sha Tin,Choi Wo Court,28/12/2022,
Sha Tin,"Tower 10, The Palazzo",28/12/2022,
Sha Tin,"Tower 1, The Palazzo",28/12/2022,
Sha Tin,"Tower 2, The Palazzo",28/12/2022,
Sha Tin,"Tower 3, The Palazzo",28/12/2022,
Sha Tin,"Tower 5, The Palazzo",28/12/2022,
Sha Tin,"Tower 6, The Palazzo",28/12/2022,
Sha Tin,Yee King House,28/12/2022,
Sha Tin,"Block 1, Eden Gardens",28/12/2022,
Sha Tin,"Heng Shan House, Heng On Estate",28/12/2022,
Sha Tin,"Heng Fung House, Heng On Estate",28/12/2022,
Sha Tin,"Heng Yat House, Heng On Estate",28/12/2022,
Sha Tin,"Heng Sing House, Heng On Estate",28/12/2022,
Sha Tin,"Heng Yuet House, Heng On Estate",28/12/2022,
Sha Tin,"Heng Kong House, Heng On Estate",28/12/2022,
Sha Tin,"Tower 3, Granville Garden",28/12/2022,
Sha Tin,Yuet On Building,28/12/2022,
Sha Tin,"Shing Hong House, Yue Shing Court",28/12/2022,
Sha Tin,"Shing Cheung House, Yue Shing Court",28/12/2022,
Sha Tin,"Block A, Greenview Garden",28/12/2022,
Sha Tin,"Block B, Greenview Garden",28/12/2022,
Sha Tin,"Block C, Greenview Garden",28/12/2022,
Sha Tin,"Yue Wo House, Yue Tin Court",28/12/2022,
Sha Tin,"Yue Yuet House, Yue Tin Court",28/12/2022,
Sha Tin,"Yue Chak House, Yue Tin Court",28/12/2022,
Sha Tin,"Yue Sui House, Yue Tin Court",28/12/2022,
Sha Tin,"Yue Kwan House, Yue Tin Court",28/12/2022,
Sha Tin,"Yue Yat House, Yue Tin Court",28/12/2022,
Sha Tin,"Yu Kan House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Kui House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Ting House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Lim House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Yeung House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Ching House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Yan House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Man House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Lai House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Nang House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Yin House, Yu Chui Court",28/12/2022,
Sha Tin,"Yu Chung House, Yu Chui Court",28/12/2022,
Sha Tin,Pai Tau,28/12/2022,
Sha Tin,Chap Wai Kon,28/12/2022,
Sha Tin,"Tower 1, Man Lai Court",28/12/2022,
Sha Tin,"Tower 2, Man Lai Court",28/12/2022,
Sha Tin,"Cotton Tree Court, New Town Plaza",28/12/2022,
Sha Tin,"Orchid Court, New Town Plaza",28/12/2022,
Sha Tin,"Grevillea Court, New Town Plaza",28/12/2022,
Sha Tin,"Block A, Sunshine City",28/12/2022,
Sha Tin,"Block B, Sunshine City",28/12/2022,
Sha Tin,"Block C, Sunshine City",28/12/2022,
Sha Tin,"Block D, Sunshine City",28/12/2022,
Sha Tin,"Block E, Sunshine City",28/12/2022,
Sha Tin,"Block G, Sunshine City",28/12/2022,
Sha Tin,"Block H, Sunshine City",28/12/2022,
Sha Tin,"Block J, Sunshine City",28/12/2022,
Sha Tin,"Block K, Sunshine City",28/12/2022,
Sha Tin,"Block L, Sunshine City",28/12/2022,
Sha Tin,"Block N, Sunshine City",28/12/2022,
Sha Tin,"Block R, Sunshine City",28/12/2022,
Sha Tin,"Block 2, The Tolo Place, Sunshine City",28/12/2022,
Sha Tin,"Foo Wai House, Sun Tin Wai Estate",28/12/2022,
Sha Tin,"Hong Wai House, Sun Tin Wai Estate",28/12/2022,
Sha Tin,"Yan Wai House, Sun Tin Wai Estate",28/12/2022,
Sha Tin,"Shing Wai House, Sun Tin Wai Estate",28/12/2022,
Sha Tin,"Fook Wai House, Sun Tin Wai Estate",28/12/2022,
Sha Tin,"Yu Wai House, Sun Tin Wai Estate",28/12/2022,
Sha Tin,"Fung Wai House, Sun Tin Wai Estate",28/12/2022,
Sha Tin,San Tin Village,28/12/2022,
Sha Tin,"Sun Chun House, Sun Chui Estate",28/12/2022,
Sha Tin,"Sun Wai House, Sun Chui Estate",28/12/2022,
Sha Tin,"Sun Kit House, Sun Chui Estate",28/12/2022,
Sha Tin,"Sun Hok House, Sun Chui Estate",28/12/2022,
Sha Tin,"Sun Ming House, Sun Chui Estate",28/12/2022,
Sha Tin,"Sun Yuet House, Sun Chui Estate",28/12/2022,
Sha Tin,"Sun Fong House, Sun Chui Estate",28/12/2022,
Sha Tin,Yuk Wo Court,28/12/2022,
Sha Tin,"Tower 2A, Seanorama",28/12/2022,
Sha Tin,"Tower 2B, Seanorama",28/12/2022,
Sha Tin,"Tower 3C, Seanorama",28/12/2022,
Sha Tin,"Tower C, The Grandville",28/12/2022,
Sha Tin,"Tower D, The Grandville",28/12/2022,
Sha Tin,"Bing Sam House, King Tin Court",28/12/2022,
Sha Tin,"Hang Sam House, King Tin Court",28/12/2022,
Sha Tin,"Man Sam House, King Tin Court",28/12/2022,
Sha Tin,"Ching Sam House, King Tin Court",28/12/2022,
Sha Tin,"Block 1, Sunshine Grove",28/12/2022,
Sha Tin,"Block 2, Sunshine Grove",28/12/2022,
Sha Tin,"Block 1, Mountain Shore",28/12/2022,
Sha Tin,"Block 2, Mountain Shore",28/12/2022,
Sha Tin,"Block 5, Mountain Shore",28/12/2022,
Sha Tin,Tsang Tai Uk New Village,28/12/2022,
Sha Tin,Lee Uk Village,28/12/2022,
Sha Tin,Chung Pak Lau,28/12/2022,
Sha Tin,"Yan Hei House, Yan On Estate",28/12/2022,
Sha Tin,"Yan Yuet House, Yan On Estate",28/12/2022,
Sha Tin,"Block 1, Prima Villa",28/12/2022,
Sha Tin,"Block 2, Prima Villa",28/12/2022,
Sha Tin,"Block 3, Prima Villa",28/12/2022,
Sha Tin,"Block 5, Prima Villa",28/12/2022,
Sha Tin,"Shou Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Hei Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Shing Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Shan Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Tsun Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Sung Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Ling Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Ming Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Ying Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Yuet Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Long Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Lam Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Lok Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Yan Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Ho Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Ching Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Chuk Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Mau Chuen House, Shui Chuen O Estate",28/12/2022,
Sha Tin,"Tong Ning Building, Sha Tin Centre",28/12/2022,
Sha Tin,"Ka Ning Building, Sha Tin Centre",28/12/2022,
Sha Tin,"Hoi Ning Building, Sha Tin Centre",28/12/2022,
Sha Tin,Sha Tin Wai,28/12/2022,
Sha Tin,Sha Tin Wai Village,28/12/2022,
Sha Tin,"Elegant Tower, Sha Tin Plaza",28/12/2022,
Sha Tin,"Brilliant Tower, Sha Tin Plaza",28/12/2022,
Sha Tin,"Block 10, City One Shatin",28/12/2022,
Sha Tin,"Block 11, City One Shatin",28/12/2022,
Sha Tin,"Block 12, City One Shatin",28/12/2022,
Sha Tin,"Block 13, City One Shatin",28/12/2022,
Sha Tin,"Block 14, City One Shatin",28/12/2022,
Sha Tin,"Block 15, City One Shatin",28/12/2022,
Sha Tin,"Block 16, City One Shatin",28/12/2022,
Sha Tin,"Block 17, City One Shatin",28/12/2022,
Sha Tin,"Block 18, City One Shatin",28/12/2022,
Sha Tin,"Block 19, City One Shatin",28/12/2022,
Sha Tin,"Block 20, City One Shatin",28/12/2022,
Sha Tin,"Block 21, City One Shatin",28/12/2022,
Sha Tin,"Block 24, City One Shatin",28/12/2022,
Sha Tin,"Block 25, City One Shatin",28/12/2022,
Sha Tin,"Block 26, City One Shatin",28/12/2022,
Sha Tin,"Block 28, City One Shatin",28/12/2022,
Sha Tin,"Block 29, City One Shatin",28/12/2022,
Sha Tin,"Block 2, City One Shatin",28/12/2022,
Sha Tin,"Block 30, City One Shatin",28/12/2022,
Sha Tin,"Block 31, City One Shatin",28/12/2022,
Sha Tin,"Block 32, City One Shatin",28/12/2022,
Sha Tin,"Block 34, City One Shatin",28/12/2022,
Sha Tin,"Block 39, City One Shatin",28/12/2022,
Sha Tin,"Block 40, City One Shatin",28/12/2022,
Sha Tin,"Block 41, City One Shatin",28/12/2022,
Sha Tin,"Block 49, City One Shatin",28/12/2022,
Sha Tin,"Block 4, City One Shatin",28/12/2022,
Sha Tin,"Block 50, City One Shatin",28/12/2022,
Sha Tin,"Block 51, City One Shatin",28/12/2022,
Sha Tin,"Block 6, City One Shatin",28/12/2022,
Sha Tin,"Block 7, City One Shatin",28/12/2022,
Sha Tin,"Block 8, City One Shatin",28/12/2022,
Sha Tin,"Block 9, City One Shatin",28/12/2022,
Sha Tin,"Sand Martin House, Sha Kok Estate",28/12/2022,
Sha Tin,"Osprey House, Sha Kok Estate",28/12/2022,
Sha Tin,"Green Heron House, Sha Kok Estate",28/12/2022,
Sha Tin,"Bean Goose House, Sha Kok Estate",28/12/2022,
Sha Tin,"Oriole House, Sha Kok Estate",28/12/2022,
Sha Tin,"Herring Gull House, Sha Kok Estate",28/12/2022,
